hyponym,hypo-definition,hypernym,hyper-definition
executive,"""having the function of carrying out plans or orders etc.""",operational,"""pertaining to a process or series of actions for achieving a result"""
existing,"""having existence or being or actuality""",real,"""being or occurring in fact or actuality; having verified existence; not illusory"""
existing,"""having existence or being or actuality""",actual,"""presently existing in fact and not merely potential or possible"""
existing,"""having existence or being or actuality""",present,"""temporal sense; intermediate between past and future; now existing or happening or in consideration"""
expected,"""considered likely or probable to happen or arrive""",probable,"""likely but not certain to be or become true or real"""
expected,"""considered likely or probable to happen or arrive""",likely,"""has a good chance of being the case or of coming about"""
experienced,"""having experience; having knowledge or skill from observation or participation""",knowledgeable,"""highly educated; having extensive information or understanding"""
experienced,"""having experience; having knowledge or skill from observation or participation""",skilled,"""having or showing or requiring special skill"""
experienced,"""having experience; having knowledge or skill from observation or participation""",competent,"""properly or sufficiently qualified or capable or efficient"""
experienced,"""having experience; having knowledge or skill from observation or participation""",proficient,"""having or showing knowledge and skill and aptitude"""
experimental,"""relating to or based on experiment""",investigative,"""designed to find information or ascertain facts"""
experimental,"""relating to or based on experiment""",scientific,"""of or relating to the practice of science"""
experimental,"""relating to or based on experiment""",empirical,"""derived from experiment and observation rather than theory"""
expert,"""having or showing knowledge and skill and aptitude""",knowledgeable,"""highly educated; having extensive information or understanding"""
expert,"""having or showing knowledge and skill and aptitude""",competent,"""properly or sufficiently qualified or capable or efficient"""
expert,"""having or showing knowledge and skill and aptitude""",skilled,"""having or showing or requiring special skill"""
explicit,"""precisely and clearly expressed or readily observable; leaving nothing to implication""",clear,"""readily apparent to the mind"""
explicit,"""precisely and clearly expressed or readily observable; leaving nothing to implication""",obvious,"""easily perceived and understood"""
express,"""not tacit or implied""",explicit,"""precisely and clearly expressed or readily observable; leaving nothing to implication"""
express,"""not tacit or implied""",clear,"""readily apparent to the mind"""
express,"""not tacit or implied""",direct,"""direct in spatial dimensions; proceeding without deviation or interruption; straight and short"""
extended,"""fully extended or stretched forth""",long,"""primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified"""
extensive,"""of agriculture; increasing productivity by using large areas with minimal outlay and labor""",agricultural,"""relating to or used in or promoting agriculture or farming"""
extensive,"""of agriculture; increasing productivity by using large areas with minimal outlay and labor""",productive,"""producing or capable of producing (especially abundantly)"""
external,"""happening or arising or located outside or beyond some limits or especially surface""",extrinsic,"""not forming an essential part of a thing or arising or originating from the outside"""
external,"""happening or arising or located outside or beyond some limits or especially surface""",outer,"""being on the outside or further from a center"""
extinct,"""no longer in existence; lost or especially having died out leaving no living representatives""",defunct,"""no longer in force or use; inactive"""
extra,"""more than is needed, desired, or required""",excessive,"""beyond normal limits"""
extra,"""more than is needed, desired, or required""",unnecessary,"""not necessary"""
extreme,"""of the greatest possible degree or extent or intensity""",intense,"""possessing or displaying a distinctive feature to a heightened degree"""
extreme,"""of the greatest possible degree or extent or intensity""",profound,"""showing intellectual penetration or emotional depth"""
extreme,"""of the greatest possible degree or extent or intensity""",severe,"""intensely or extremely bad or unpleasant in degree or quality"""
